,code,year,month,day_of_month,date,state,magnitude,injuries,fatalities,s_latitude,s_longitude,e_latitude,e_longitude,length,width
106,D0Er2Y461103Siyolwo1,2001,11,24,2001-11-24,MS,4,48,0,33.47,-91.10,33.87,-90.72,30.30,880.00
107,ebe05sTVbf6qeoGQUY7t,2001,9,24,2001-09-24,VA,4,2,0,38.57,-77.98,38.72,-77.83,10.00,75.00
108,46MNX2BCr1PyH5MNEXRh,2001,6,13,2001-06-13,NE,4,2,0,40.85,-97.08,40.95,-96.98,8.00,400.00
109,sRkQVONJiSBd2cORaC2F,2001,4,21,2001-04-21,KS,4,28,1,38.50,-98.78,38.57,-98.77,5.00,660.00
110,litpKhVSOybvLfQdl6Px,2000,12,16,2000-12-16,AL,4,144,11,33.05,-87.70,33.20,-87.40,18.00,750.00
111,MArF3lwknZ7Zx4ZFkA3k,2000,9,20,2000-09-20,OH,4,100,1,39.65,-83.98,39.73,-83.88,9.00,500.00
112,wX6UxtKQR7V6GnfC57y6,2000,7,25,2000-07-25,MN,4,15,1,44.90,-95.67,44.82,-95.55,9.00,160.00
113,lfVCEvWwRL8LDsn5POXD,1999,6,6,1999-06-06,ND,4,0,0,48.60,-97.78,48.68,-97.85,8.00,500.00
114,GhnS55EyrpHio5yS9Yoi,1999,5,11,1999-05-11,TX,4,6,1,30.68,-99.10,30.65,-99.00,7.00,1400.00
115,IDXoYuqXkZDHOqG2ABUh,1999,5,5,1999-05-05,TN,4,0,3,35.57,-87.92,35.63,-87.83,6.00,580.00
116,NVEzEMieHRzsS0OkEiuR,1999,5,3,1999-05-03,KS,4,150,6,37.32,-97.40,37.70,-97.33,24.00,880.00
117,9q4IAL1Bi4bmll9olli8,1999,5,3,1999-05-03,OK,4,26,2,35.88,-97.68,36.32,-97.23,35.00,1760.00
118,3z1HUUjOQWwtJLeWlzyz,1999,5,3,1999-05-03,OK,4,11,1,35.93,-97.95,36.07,-97.78,15.00,880.00
119,NmynhFraVshBEyxydxOc,1999,4,9,1999-04-09,OH,4,65,4,39.23,-84.37,39.30,-84.23,10.00,270.00
120,4U6KluIrndELlIRuilvV,1999,4,8,1999-04-08,IA,4,1,0,41.03,-94.32,41.77,-93.87,56.00,1250.00
121,nDP728RgwNSjAhz9Iu3M,1999,4,8,1999-04-08,IA,4,3,0,40.85,-94.90,41.48,-94.47,49.00,1000.00
122,9Nzk5CeUwittUKKz85jB,1999,4,3,1999-04-03,LA,4,102,7,32.53,-93.83,32.75,-93.60,19.30,200.00
123,il9Vp6jE4oEzmxw3OagP,1999,1,21,1999-01-21,AR,4,0,0,36.28,-90.55,36.40,-90.35,16.00,400.00
124,xHISWjZK9eG6QZKCqhU0,1999,1,17,1999-01-17,TN,4,106,6,35.58,-88.88,35.63,-88.68,16.00,500.00
